entity-alpha-sort,wikidata-label,entity-type,wikidata-uri,loc-id,musicbrainz-id,snac-ark-id,wikidata-id,in-lj-dataset
"Kingston Lounge (New York, N.Y.)",Kingston Lounge,Venue,https://www.wikidata.org/entity/Q65548659,,,,Q65548659,
"Club La Marchal (New York, N.Y.)",Club La Marchal,Venue,https://www.wikidata.org/entity/Q65548894,,11adb780-73b4-4be4-89ae-6fc8b972a329,,Q65548894,
"Blue Coronet, The",The Blue Coronet,Venue,https://www.wikidata.org/entity/Q65548661,,,,Q65548661,
"Putnam Central (New York, N.Y.)",Putnam Central,Venue,https://www.wikidata.org/entity/Q65548664,,ef6e7944-901a-4f99-b3a2-3b2ee24b33a2,,Q65548664,
Elmo Lounge,Elmo Lounge,Venue,https://www.wikidata.org/entity/Q65548895,,,,Q65548895,
"Elks Plaza, The",Elks Plaza,Venue,https://www.wikidata.org/entity/Q65548663,,,,Q65548663,
"East, The",The East,Venue,https://www.wikidata.org/entity/Q48806213,,fb8f4beb-02e1-4644-9dc3-357135d6fee5,,Q48806213,
Slave #1 Theatre,Slave #1 Theatre,Venue,https://www.wikidata.org/entity/Q65548896,no2018118820,,,Q65548896,
Central Brooklyn Jazz Consortium,Central Brooklyn Jazz Consortium,Organization,https://www.wikidata.org/entity/Q5060469,,,,Q5060469,
"Cheatham, JoAnn",Jo Ann Cheatham,Person,https://www.wikidata.org/entity/Q65548169,,8358a63a-2b4b-4fee-a528-9fe4126b8045,,Q65548169,
"Weusi, Jitu",Jitu Weusi,Person,https://www.wikidata.org/entity/Q55418244,,,,Q55418244,
"Weston, Randy",Randy Weston,Person,https://www.wikidata.org/entity/Q1371187,n84162381,7e198258-7093-46ac-a71e-91075fd0f5af,w6379dph,Q1371187,Yes
"Carroll, Joe",Joe Carroll,Person,https://www.wikidata.org/entity/Q916929,no92028416,24360dbb-b6e8-4e96-b82b-28b02e7a0e97,,Q916929,
"Carroll, Alma",Alma Carroll,Person,https://www.wikidata.org/entity/Q61041693,,,,Q61041693,
"Wareham, Roger",Roger Wareham,Person,https://www.wikidata.org/entity/Q65554900,,,,Q65554900,
"Plummer, Viola",Viola Plummer,Person,https://www.wikidata.org/entity/Q65554901,n97018275,,,Q65554901,
"Wali, Kwesi Wensah (Mensah)",Kwise Mensah Wali,Person,https://www.wikidata.org/entity/Q65554902,,,,Q65554902,
"Valle, Harold",Harold Valle,Person,https://www.wikidata.org/entity/Q65554903,,,,Q65554903,
"Spaulding, James",James Spaulding,Person,https://www.wikidata.org/entity/Q1681118,n88627476,d7dfd39c-c5fd-4c16-b7ec-6b59db246899,w6gg4tcc,Q1681118,
"Workman, Reginald",Reggie Workman,Person,https://www.wikidata.org/entity/Q780037,n84132575,ca0e5f9d-838a-4685-9b82-e30e35ff4bf1,w6zp5b1w,Q780037,Yes
"Braithwaite, Fred ""Fab Five Freddy"" ",Fab Five Freddy,Person,https://www.wikidata.org/entity/Q958532,n88607285,5da2f936-f801-4d97-9834-c535ccdc12b7,w6k07xtp,Q958532,
"Rubin, Vanessa",Vanessa Rubin,Person,https://www.wikidata.org/entity/Q2510230,no96058282,06468b71-89eb-4171-bcae-c9d6f27efb6f,,Q2510230,
"St. Joan, Keisha",Keisha St. Joan,Person,https://www.wikidata.org/entity/Q65554904,,,,Q65554904,
"Barnes, Wade",Wade Barnes,Person,https://www.wikidata.org/entity/Q15441507,n2006091433,3bc0b125-7c65-4d4b-9791-d942f6537268,,Q15441507,
"Long, Joe",Joe Long,Person,https://www.wikidata.org/entity/Q3433512,,ad53b1c1-c066-4bc4-aada-74cb457c0904,,Q3433512,
"Howard, Michael",Michael Howard,Person,https://www.wikidata.org/entity/Q65967248,,,,Q65967248,
"Pinn, Sam",Sam Pinn,Person,https://www.wikidata.org/entity/Q65554905,,,,Q65554905,
"Stoute, Ed",Ed Stoute,Person,https://www.wikidata.org/entity/Q65554906,,,,Q65554906,
"Cumberbatch, Tulivu-Donna",Tulivu-Donna Cumberbatch,Person,https://www.wikidata.org/entity/Q7852105,no2009003702,23e0b5b7-9de7-4583-b5ef-8680f44ad03a,,Q7852105,
"Habersham-Bey, Dickie",Dickie Habersham-Bey,Person,https://www.wikidata.org/entity/Q65554907,,,,Q65554907,
"Ridley, Larry",Larry Ridley,Person,https://www.wikidata.org/entity/Q1724922,n88616707,c3fbbdb0-6383-496f-81d0-53bed7cad162,w6r79wzs,Q1724922,
"Mabern, Harold",Harold Mabern,Person,https://www.wikidata.org/entity/Q323490,n79150108,b33420e0-1eba-4fa1-9d5c-3a8d8af79ee8,w6q383d1,Q323490,
"Morton Sr., James","Jimmy Morton, Sr.",Person,https://www.wikidata.org/entity/Q65554908,,,,Q65554908,
"Abdullah, Ahmed",Ahmed Abdullah,Person,https://www.wikidata.org/entity/Q401094,no98005255,fe5c306b-c4e0-4338-9a7c-d74e3b8bf015,,Q401094,
"Ziwadi, Kiane",Kiane Zawadi,Person,https://www.wikidata.org/entity/Q822606,,8358a63a-2b4b-4fee-a528-9fe4126b8045,,Q822606,
"Myers, Bob",Bob Meyers,Person,https://www.wikidata.org/entity/Q65548832,,,,Q65548832,
"Greenidge, Kaitlyn",Kaitlyn Greenidge,Person,https://www.wikidata.org/entity/Q65554909,n2015059050,,,Q65554909,
"Korah (Amen), Alexander (Alex)",Alexander Korah,Person,https://www.wikidata.org/entity/Q65554910,,,,Q65554910,
"Korah, Robert",Robert Korah,Person,https://www.wikidata.org/entity/Q65554911,,,,Q65554911,
"Korah, Mary",Mary Korah,Person,https://www.wikidata.org/entity/Q65554912,,,,Q65554912,
"Lewis, Art",Art Lewis,Person,https://www.wikidata.org/entity/Q23639243,,96d10fae-648c-401b-a61c-e2484901f64e,,Q23639243,
Association for the Advancement of Creative Musicians,Association for the Advancement of Creative Musicians,Organization,https://www.wikidata.org/entity/Q743667,n84027009,,w61p2qw4,Q743667,
"Barron, Bill",Bill Barron,Person,https://www.wikidata.org/entity/Q861928,n95002248,dde18a5d-7bc1-4cde-ae98-a17df60fa3b8,w6nw1kkq,Q861928,Yes
Brotherhood of Sound,Brotherhood of Sound,Music Group,https://www.wikidata.org/entity/Q65548765,,,,Q65548765,
"Dyer, Bugs",Bugs Dyer,Person,https://www.wikidata.org/entity/Q65554913,,,,Q65554913,
"Massey, Cal",Cal Massey,Person,https://www.wikidata.org/entity/Q1026123,n2009005872,9319ba6c-24b7-4716-bdd7-90c9033a9bd8,w6ww7rq1,Q1026123,Yes
Collective Black Artists,Collective Black Artists,Organization,https://www.wikidata.org/entity/Q65548279,no2010124897,,w6tb692m,Q65548279,
"Harris, Craig",Craig S. Harris,Person,https://www.wikidata.org/entity/Q1138552,n87132426,7648be5c-2024-415e-8d49-e5f19ed514d1,,Q1138552,
"Mixon, Danny",Danny Mixon,Person,https://www.wikidata.org/entity/Q1164703,nr98029725,ed66b378-17ed-4273-a6b5-887edf1b42b3,,Q1164703,
"Haroon, Daoud",Daoud Haroon,Person,https://www.wikidata.org/entity/Q65554914,n2006092953,,,Q65554914,
Jazz 966,Jazz 966,Venue,https://www.wikidata.org/entity/Q65548897,,,,Q65548897,
"Rivera-Reyes, Louis",Louis Rivera-Reyes,Person,https://www.wikidata.org/entity/Q65554915,,,,Q65554915,
Master Brotherhood,The Legendary Master Brotherhood,Music Group,https://www.wikidata.org/entity/Q65548766,,,,Q65548766,
