Brooklyn Repertory Ensemble,,FALSE
Brooklyn,,FALSE
Randy Weston,person,http://base.semlab.io/entity/Q657
Max Roach,person,http://base.semlab.io/entity/Q66
Ray Abrams,person,FALSE
Billie Holiday,person,http://base.semlab.io/entity/Q43
Nancy Wilson,person,http://base.semlab.io/entity/Q85
Dizzy Gillespie?,person,http://base.semlab.io/entity/Q35
Putnam Central?,,FALSE
Coleman Hawkins,,FALSE
Arnett Cobb,person,http://base.semlab.io/entity/Q831
Cecil Payne,person,FALSE
Lester Young,person,http://base.semlab.io/entity/Q12
Charlie Parker,person,http://base.semlab.io/entity/Q13
Rahsaan Roland Kirk,person,http://base.semlab.io/entity/Q1909
McCoy Tyner,person,http://base.semlab.io/entity/Q200
Kingston Lounge,,FALSE
Andre Strobert,person,FALSE
Wynton Kelly,person,http://base.semlab.io/entity/Q1098
Rafik Williamson,person,FALSE
Ed Stoute,person,FALSE
Willard Jenkins,person,FALSE
Tulivu-Donna Cumberbatch?,person,FALSE
Harold Cumberbatch,person,FALSE
Lionel Hampton,person,http://base.semlab.io/entity/Q39
Count Basie,person,http://base.semlab.io/entity/Q72
Ernie Henry,person,FALSE
Louis Armstrong,person,http://base.semlab.io/entity/Q101
The Blue Coronet,,FALSE
Sonia Ballroom (Akbar Hall),,FALSE
West End Cafe,,FALSE
Swing to Bop Quintet,,FALSE
Nat King Cole,person,http://base.semlab.io/entity/Q25
Frank Sinatra,person,http://base.semlab.io/entity/Q346
Sarah Vaughan,person,http://base.semlab.io/entity/Q93
Ella Fitzgerald,person,http://base.semlab.io/entity/Q127
Carmen McRae?,person,http://base.semlab.io/entity/Q566
All-City Chorus,,FALSE
The East,,FALSE
Rashim,person,FALSE
Onaje Allan Gumbs,person,FALSE
Buddy Williams,person,FALSE
Ray Abrams Big Band,,FALSE
Baritone Saxophones,,FALSE
Sista's Place,,FALSE
The Flamingo Lounge,,FALSE
Yoko Kanno,person,FALSE
Wade E. Barnes,person,FALSE
unnamed venue,,FALSE
Miles Davis,person,http://base.semlab.io/entity/Q41
Jean Cam,person,FALSE
