Entity,RDF Type, URI
Brooklyn,borough,http://base.semlab.io/entity/Q18808
Betty Carter,person,http://base.semlab.io/entity/Q102
James Spaulding,person,http://base.semlab.io/entity/Q18957
Luis Reyes Rivera,person,http://base.semlab.io/entity/Q18987
Haki Madhabouti,person,http://base.semlab.io/entity/Q18952
Carlos Garnett,person,http://base.semlab.io/entity/Q18929
Willard Jenkins,person,http://base.semlab.io/entity/Q19038
Roger Wareham,person,http://base.semlab.io/entity/Q19016
Sista's Place,music venue,http://base.semlab.io/entity/Q18876
John Coltrane,person,http://base.semlab.io/entity/Q33
Freddie Hubbard,person,http://base.semlab.io/entity/Q934
Ahmed Abdullah,person,http://base.semlab.io/entity/Q18913
The Blue Coronet,music venue,http://base.semlab.io/entity/Q18834
The East,music venue,http://base.semlab.io/entity/Q18885
Abbey Lincoln,person,http://base.semlab.io/entity/Q1386
The Vanugard,music venue,http://base.semlab.io/entity/Q18895
Leon Thomas,person,http://base.semlab.io/entity/Q18983
Randy Weston,person,http://base.semlab.io/entity/Q657
