item,itemLabel
http://base.semlab.io/entity/Q3,Alan Dawson
http://base.semlab.io/entity/Q4,B.B. King
http://base.semlab.io/entity/Q5,Frank Kidd
http://base.semlab.io/entity/Q6,Joe Gordon
http://base.semlab.io/entity/Q7,Chet Baker
http://base.semlab.io/entity/Q8,Pharoah Sanders
http://base.semlab.io/entity/Q9,Gigi Gryce
http://base.semlab.io/entity/Q10,Red Rodney
http://base.semlab.io/entity/Q11,Donald Harrison
http://base.semlab.io/entity/Q12,Lester Young
http://base.semlab.io/entity/Q13,Charlie Parker
http://base.semlab.io/entity/Q14,Art Tatum
http://base.semlab.io/entity/Q15,Bill Strumpets
http://base.semlab.io/entity/Q16,Billy Eckstine
http://base.semlab.io/entity/Q17,Archie Shepp
http://base.semlab.io/entity/Q18,Bud Powell
http://base.semlab.io/entity/Q19,Oscar Peterson
http://base.semlab.io/entity/Q20,Tony Williams
http://base.semlab.io/entity/Q21,Nat Pierce
http://base.semlab.io/entity/Q22,Tadd Dameron
http://base.semlab.io/entity/Q23,Ornette Coleman
http://base.semlab.io/entity/Q24,Coleman Hawkins
http://base.semlab.io/entity/Q25,Nat King Cole
http://base.semlab.io/entity/Q26,Sam Rivers
http://base.semlab.io/entity/Q27,Eric Dolphy
http://base.semlab.io/entity/Q28,George Butler
http://base.semlab.io/entity/Q29,Cecil Taylor
http://base.semlab.io/entity/Q30,Jaki Byard
http://base.semlab.io/entity/Q31,Paul Bley
http://base.semlab.io/entity/Q32,Charlie Mariano
http://base.semlab.io/entity/Q33,John Coltrane
http://base.semlab.io/entity/Q34,Wynton Marsalis
http://base.semlab.io/entity/Q35,Dizzy Gillespie
http://base.semlab.io/entity/Q36,Rodney Kendrick
http://base.semlab.io/entity/Q37,Thad Jones
http://base.semlab.io/entity/Q38,Johnny Griffin
http://base.semlab.io/entity/Q39,Lionel Hampton
http://base.semlab.io/entity/Q40,Quincy Jones
http://base.semlab.io/entity/Q41,Miles Davis
http://base.semlab.io/entity/Q42,Gene Ammons
http://base.semlab.io/entity/Q43,Billie Holiday
http://base.semlab.io/entity/Q44,Illinois Jacquet
http://base.semlab.io/entity/Q45,Ron Carter
http://base.semlab.io/entity/Q46,Joe Williams
http://base.semlab.io/entity/Q47,Sonny Rollins
http://base.semlab.io/entity/Q48,James Moody
http://base.semlab.io/entity/Q49,Charles Davis
http://base.semlab.io/entity/Q50,Benny Goodman
http://base.semlab.io/entity/Q51,Fats Navarro
http://base.semlab.io/entity/Q52,Sun Ra
http://base.semlab.io/entity/Q53,Louis Jordan
http://base.semlab.io/entity/Q54,Fletcher Henderson
http://base.semlab.io/entity/Q55,Kenny Dorham
http://base.semlab.io/entity/Q56,Ben Webster
http://base.semlab.io/entity/Q57,Clark Terry
http://base.semlab.io/entity/Q58,John Gilmore
http://base.semlab.io/entity/Q59,Von Freeman
http://base.semlab.io/entity/Q60,Milt Hinton
http://base.semlab.io/entity/Q61,Dinah Washington
http://base.semlab.io/entity/Q62,Alvin Queen
http://base.semlab.io/entity/Q63,Clifford Jordan
http://base.semlab.io/entity/Q64,Duke Ellington
http://base.semlab.io/entity/Q65,Artie Shaw
http://base.semlab.io/entity/Q66,Max Roach
http://base.semlab.io/entity/Q67,Jimmy Evans
http://base.semlab.io/entity/Q68,Mel Lewis
http://base.semlab.io/entity/Q69,Todd Barkan
http://base.semlab.io/entity/Q70,Little Jimmy Scott
http://base.semlab.io/entity/Q71,Thelonious Monk
http://base.semlab.io/entity/Q72,Count Basie
http://base.semlab.io/entity/Q73,Pat Patrick
http://base.semlab.io/entity/Q74,Charles Davis
http://base.semlab.io/entity/Q75,Walter Dyett
http://base.semlab.io/entity/Q76,Clarence Henry
http://base.semlab.io/entity/Q77,George Butler
http://base.semlab.io/entity/Q78,Little Esther
http://base.semlab.io/entity/Q79,Frankie Valli
http://base.semlab.io/entity/Q80,Howard Biggs
http://base.semlab.io/entity/Q81,Teddy Reig
http://base.semlab.io/entity/Q82,Winnie Brown
http://base.semlab.io/entity/Q83,Wynonie Harris
http://base.semlab.io/entity/Q84,Herman Lubinsky
http://base.semlab.io/entity/Q85,Nancy Wilson
http://base.semlab.io/entity/Q86,Jimmy Scott
http://base.semlab.io/entity/Q87,Lou Reed
http://base.semlab.io/entity/Q88,Jack Benny
http://base.semlab.io/entity/Q89,Freddy Mendelsohn
http://base.semlab.io/entity/Q90,Charles Mingus
http://base.semlab.io/entity/Q91,Mickey Rooney
http://base.semlab.io/entity/Q92,Bill Cook
http://base.semlab.io/entity/Q93,Sarah Vaughan
http://base.semlab.io/entity/Q94,Clyde McPhatter
http://base.semlab.io/entity/Q95,Big Maybelle
http://base.semlab.io/entity/Q96,Larry Darnell
http://base.semlab.io/entity/Q97,Benny Carter
