batch, admin sort,QID,PROPERTY,VALUE, admin note,date enhanced,method
1,1,Q62,P8,"""Q449211""",add wikidata QID for Alvin Queen,4/1/2020,manual
1,2,Q69,P8,"""Q2438397""",add wikidata QID for Todd Barkan,4/1/2020,manual
1,3,Q80,P8,"""Q20020501""",add wikidata QID for Howard Biggs,4/1/2020,manual
1,4,Q89,P8,"""Q5495929""",add wikidata QID for Freddy Mendelsohn,4/1/2020,manual
1,5,Q313,P8,"""Q1346345""",add wikidata QID for Galt McDermott,4/1/2020,manual
1,6,Q319,P8,"""Q29913762""",add wikidata QID for Bill Jennings,4/1/2020,manual
1,7,Q326,P8,"""Q232395""",add wikidata QID for Esther Williams,4/1/2020,manual
1,8,Q359,P8,"""Q1283786""",add wikidata QID for Edgar Bateman,4/1/2020,manual
1,9,Q540,P8,"""Q13410379""",add wikidata QID for Howard Brubeck,4/1/2020,manual
1,10,Q551,P8,"""Q3527947""",add wikidata QID for Ron Crotty,4/1/2020,manual
1,11,Q555,P8,"""Q16509493""",add wikidata QID for Herb Wong,4/1/2020,manual
1,12,Q687,P8,"""Q42148151""",add wikidata QID for Sam Marowitz,4/1/2020,manual
1,13,Q692,P8,"""Q15439828""",add wikidata QID for Don Stratton,4/1/2020,manual
1,14,Q403,P8,"""Q28017793""",add wikidata QID for Shorty McConnell,4/1/2020,manual
1,15,Q456,P8,"""Q52376165""",add wikidata QID for Lee Richardson,4/1/2020,manual
1,16,Q714,P8,"""Q15440305""",add wikidata QID for Hal Serra,4/1/2020,manual
1,17,Q730,P8,"""Q18616644""",add wikidata QID for Benny Payne,4/1/2020,manual
1,18,Q732,P8,"""Q27881242""",add wikidata QID for Mona Hinton,4/1/2020,manual
1,19,Q1992,P8,"""Q15440571""",add wikidata QID for Vi Burnside,4/1/2020,manual
1,20,Q1619,P8,"""Q28152318""",add wikidata QID for Willie Pajeaud,4/1/2020,manual
1,21,Q1691,P8,"""Q3286414""",add wikidata QID for Manolito Simonet,4/1/2020,manual
1,22,Q821,P8,"""Q942060""",add wikidata QID for Kid Gavilan,4/1/2020,manual
1,23,Q846,P8,"""Q20988615""",add wikidata QID for Reginald Buckner,4/1/2020,manual
1,24,Q958,P8,"""Q1719821""",add wikidata QID for Melissa Walker,4/1/2020,manual
1,25,Q983,P8,"""Q56221282""",add wikidata QID for Paul Broadnax,4/1/2020,manual
1,26,Q1050,P8,"""Q3035718""",add wikidata QID for Don Baker,4/1/2020,manual
1,27,Q1142,P8,"""Q3388696""",add wikidata QID for Piney Brown,4/1/2020,manual
1,28,Q1148,P8,"""Q20761044""",add wikidata QID for Milton Orent,4/1/2020,manual
1,29,Q1159,P8,"""Q15804079""",add wikidata QID for Theodore Bennett,4/1/2020,manual
1,30,Q1189,P8,"""Q647445""",add wikidata QID for Hugues Panassie,4/1/2020,manual
1,31,Q1266,P8,"""Q83326""",add wikidata QID for Bela Bartok,4/1/2020,manual
1,32,Q1558,P8,"""Q66732612""",add wikidata QID for Theodore Purnell,4/1/2020,manual
1,33,Q1455,P8,"""Q153432""",add wikidata QID for Maurice Andre,4/1/2020,manual
1,34,Q2017,P8,"""Q4772158""",add wikidata QID for Anthony Brown,4/1/2020,manual
1,35,Q2018,P8,"""Q1691660""",add wikidata QID for Joe Williams,4/1/2020,manual
1,36,Q2019,P8,"""Q769600""",add wikidata QID for Ted Gioia,4/1/2020,manual
1,37,Q62,P9,https://www.wikidata.org/wiki/Q449211,add wikidata URI for Alvin Queen,4/1/2020,manual
