batch,sort,QID,PROPERTY,VALUE, admin note,date enhanced,method,note
1,1,Q1009,P11,Q18807,associate Linking Lost Jazz Shrines project with Barry Harris,4/1/2020,manual,
1,2,Q102,P11,Q18807,associate Linking Lost Jazz Shrines project with Betty Carter,4/1/2020,manual,
1,3,Q1050,P8,"""Q3035718""",add wikidata QID for Don Baker,4/1/2020,manual,
1,4,Q1050,P9,https://www.wikidata.org/wiki/Q3035718,add wikidata URI for Don Baker,4/1/2020,manual,
1,5,Q1142,P8,"""Q3388696""",add wikidata QID for Piney Brown,4/1/2020,manual,
1,6,Q1142,P9,https://www.wikidata.org/wiki/Q3388696,add wikidata URI for Piney Brown,4/1/2020,manual,
1,7,Q1146,P11,Q18807,associate Linking Lost Jazz Shrines project with Alvin Ailey,4/1/2020,manual,
1,8,Q1148,P8,"""Q20761044""",add wikidata QID for Milton Orent,4/1/2020,manual,
1,9,Q1148,P9,https://www.wikidata.org/wiki/Q20761044,add wikidata URI for Milton Orent,4/1/2020,manual,
1,10,Q1149,Aen,"""Jackie Mabley""","add alias for Jackie ""Moms"" Mabley",4/1/2020,manual,
1,11,Q1149,Aen,"""Moms Mabley""","add alias for Jackie ""Moms"" Mabley",4/1/2020,manual,
1,12,Q1159,P8,"""Q15804079""",add wikidata QID for Theodore Bennett,4/1/2020,manual,
1,13,Q1159,P9,https://www.wikidata.org/wiki/Q15804079,add wikidata URI for Theodore Bennett,4/1/2020,manual,
1,14,Q117,P11,Q18807,associate Linking Lost Jazz Shrines project with Dexter Gordon,4/1/2020,manual,
1,15,Q1177,Aen,"""Eddie Davis""",add alias for Lockjaw Davis,4/1/2020,manual,
1,16,Q1177,Aen,"""Eddie ""Lockjaw"" Davis""",add alias for Lockjaw Davis,4/1/2020,manual,
1,17,Q1189,P8,"""Q647445""",add wikidata QID for Hugues Panassie,4/1/2020,manual,
1,18,Q1189,P9,https://www.wikidata.org/wiki/Q647445,add wikidata URI for Hugues Panassie,4/1/2020,manual,
1,19,Q1220,Aen,"""Leon Chancler""","add alias for Leon ""Ndugu"" Chancler",4/1/2020,manual,
1,20,Q1220,Aen,"""Ndugu Chancler""","add alias for Leon ""Ndugu"" Chancler",4/1/2020,manual,
1,21,Q1266,P8,"""Q83326""",add wikidata QID for Bela Bartok,4/1/2020,manual,
1,22,Q1266,P9,https://www.wikidata.org/wiki/Q83326,add wikidata URI for Bela Bartok,4/1/2020,manual,
1,23,Q127,P11,Q18807,associate Linking Lost Jazz Shrines project with Ella Fitzgerald,4/1/2020,manual,
1,24,Q1281,Aen,"""Horacio Hernandez""","add alias for Horacio ""El Negro"" Hernandez",4/1/2020,manual,
1,25,Q1281,Aen,"""El Negro Hernandez""","add alias for Horacio ""El Negro"" Hernandez",4/1/2020,manual,
1,26,Q13,Aen,"""Charles Parker""",add alias for Charlie Parker,4/1/2020,manual,
1,27,Q13,Aen,"""Bird""",add alias for Charlie Parker,4/1/2020,manual,
