batch, admin sort,QID,PROPERTY,VALUE, admin note,QID,date enhanced,method
1,1,Q18810,Len,"""All-City Chorus""",add label,Q18810,4/3/2020,manual
1,2,Q18810,Aen,"""All City Chorus""",add alias,Q18810,4/3/2020,manual
1,3,Q18811,Len,"""Baritone Saxophones""",add label,Q18811,4/3/2020,manual
1,4,Q18811,Aen,"""Baritone Saxophonists""",add alias,Q18811,4/3/2020,manual
1,5,Q18812,Len,"""Brooklyn Repertory Ensemble""",add label,Q18812,4/3/2020,manual
1,6,Q18813,Len,"""Frankie Lymón and the Teenagers""",add label,Q18813,4/3/2020,manual
1,7,Q18813,Aen,"""The Teenagers""",add alias,Q18813,4/3/2020,manual
1,8,Q18814,Len,"""Jazz Contemporaries""",add label,Q18814,4/3/2020,manual
1,9,Q18815,Len,"""Jazz Hounds""",add label,Q18815,4/3/2020,manual
1,10,Q18816,Len,"""Jazz Standard""",add label,Q18816,4/3/2020,manual
1,11,Q18817,Len,"""MJT+3""",add label,Q18817,4/3/2020,manual
1,12,Q18818,Len,"""Mtume""",add label,Q18818,4/3/2020,manual
1,13,Q18819,Len,"""Ray Abrams Big Band""",add label,Q18819,4/3/2020,manual
1,14,Q18820,Len,"""Roy Haynes Quartet""",add label,Q18820,4/3/2020,manual
1,15,Q18821,Len,"""Run DMC""",add label,Q18821,4/3/2020,manual
1,16,Q18822,Len,"""Slide Hampton Octet""",add label,Q18822,4/3/2020,manual
1,17,Q18823,Len,"""Swing to Bop Quintet""",add label,Q18823,4/3/2020,manual
1,18,Q18824,Len,"""The Berry Brothers""",add label,Q18824,4/3/2020,manual
1,19,Q18825,Len,"""The Jazz Messengers""",add label,Q18825,4/3/2020,manual
1,20,Q18825,Aen,"""The Messengers""",add alias,Q18825,4/3/2020,manual
1,21,Q18826,Len,"""The Jazztet""",add label,Q18826,4/3/2020,manual
1,22,Q18827,Len,"""78 Club""",add label,Q18827,4/3/2020,manual
1,23,Q18827,Aen,"""Club 78""",add alias,Q18827,4/3/2020,manual
1,24,Q18828,Len,"""Arlington Inn""",add label,Q18828,4/3/2020,manual
